price,managed_fba_stock_level,weekday,quarter,is_holiday,diff_price_comp_1,ratio_price_comp_1,diff_price_comp_2,ratio_price_comp_2,storage_loss,avg_unitsordered_7days,avg_price_7days,unitsordered
29.89,1582,1,4,0,1.1,1.036801606,11.5,1.384744062,0,22,29.86142857,26
23.99,1582,2,4,0,7,1.291788245,17.4,1.725302209,0,18.71428571,29.01857143,5
29.99,1497,3,4,0,1,1.033344448,11.4,1.380126709,17,15.85714286,29.04714286,11
29.79,1486,4,4,0,1.2,1.040281974,11.6,1.389392414,1,13.14285714,29.04714286,9
29.99,1486,5,4,0,1,1.033344448,11.4,1.380126709,0,13,29.06142857,8
29.99,1486,6,4,0,1,1.033344448,11.4,1.380126709,0,16.71428571,29.06142857,29
28.69,1486,0,4,0,1.3,1.045311955,12.7,1.442662949,0,17.85714286,28.90428571,37
29.69,1486,1,4,0,0.3,1.010104412,27.51,1.926574604,0,20.42857143,28.87571429,44
29.89,1401,2,4,0,0.1,1.003345601,27.31,1.913683506,1.931818182,24,29.71857143,30
29.69,1387,3,4,0,0.3,1.010104412,27.51,1.926574604,0.466666667,30.57142857,29.67571429,57
28.79,1355,4,4,0,1.2,1.041681139,28.41,1.986800973,0.561403509,33.42857143,29.53285714,29
29.89,1355,5,4,0,0.1,1.003345601,27.31,1.913683506,0,34,29.51857143,12
29.99,1362,6,4,0,0,1,27.21,1.907302434,-0.583333333,30.42857143,29.51857143,4
29.29,1346,0,4,0,0.7,1.023898942,27.91,1.952884944,4,35.14285714,29.60428571,70
28.99,1328,1,4,0,1,1.034494653,12.4,1.427733701,0.257142857,33.57142857,29.50428571,33
29.79,1301,2,4,0,0.2,1.006713662,11.6,1.389392414,0.818181818,34.71428571,29.49,38
29.79,1301,3,4,0,0.2,1.006713662,11.6,1.389392414,0,29.85714286,29.50428571,23
29.49,1301,4,4,0,0.5,1.0169549,11.9,1.403526619,0,30,29.60428571,30
29.99,1301,5,4,0,0,1,11.4,1.380126709,0,29.57142857,29.61857143,9
29.99,1301,6,4,0,0,1,11.4,1.380126709,0,33.57142857,29.61857143,32
29.79,1301,0,4,0,0.2,1.006713662,11.6,1.389392414,0,28.28571429,29.69,33
28.09,1301,1,4,0,1.9,1.067639729,13.3,1.473478106,0,26.14285714,29.56142857,18
29.79,1304,2,4,0,0.2,1.006713662,11.6,1.389392414,-0.166666667,26.14285714,29.56142857,38
29.89,1325,3,4,0,0.1,1.003345601,11.5,1.384744062,-0.552631579,27.57142857,29.57571429,33
27.49,1357,4,4,0,2.5,1.090942161,13.9,1.505638414,-0.96969697,28,29.29,33
29.89,1326,5,4,0,0.1,1.003345601,11.5,1.384744062,0.939393939,28.42857143,29.27571429,12
29.99,1316,6,4,0,0,1,11.4,1.380126709,0.833333333,24.71428571,29.27571429,6
29.69,1377,0,4,0,0.3,1.010104412,11.7,1.394072078,-10.16666667,23.85714286,29.26142857,27
29.79,1345,1,4,0,0.2,1.006713662,11.6,1.389392414,1.185185185,25.71428571,29.50428571,31
29.79,1345,2,4,0,0.2,1.006713662,11.6,1.389392414,0,22.85714286,29.50428571,18
29.99,1308,3,4,0,0,1,11.4,1.380126709,2.055555556,20,29.51857143,13
29.79,1335,4,4,0,0.2,1.006713662,11.6,1.389392414,-2.076923077,17,29.84714286,12
29.99,1321,5,4,0,0,1,11.4,1.380126709,1.166666667,15.71428571,29.86142857,3
29.99,1316,6,4,0,0,1,11.4,1.380126709,1.666666667,18.28571429,29.86142857,24
