storage_loss,avg_unitsordered_7days,avg_price_7days,adspend
1.103448276,21.14285714,29.77571429,31
1.5,23.85714286,29.73285714,40
0.314285714,23.28571429,29.74714286,0
1.666666667,20,29.74714286,11
31.16666667,20.28571429,29.61857143,26
0.387096774,20.14285714,29.61857143,15
10.77777778,19.14285714,29.60428571,14
0.727272727,18.71428571,29.61857143,18
-9.769230769,16,29.61857143,12
0.8125,18.57142857,29.61857143,4
0.208333333,18.28571429,29.61857143,14
7,18,29.76142857,29
0.034482759,20.57142857,29.76142857,36
0.694444444,21.28571429,29.84714286,30
1.074074074,24.14285714,29.71857143,31
0.606060606,24.85714286,29.77571429,30
-6,23,29.77571429,4
0.909090909,23,29.77571429,2
-17.75,21.57142857,29.76142857,29
0.368421053,19.28571429,29.74714286,25
0.25,19.14285714,29.71857143,27
-12.5,17.42857143,29.81857143,27
-31.19047619,15.85714286,29.81857143,13
2.2,18,29.81857143,0
0.615384615,18.14285714,29.81857143,0
2.6,17.28571429,29.80428571,29
1.846153846,17.28571429,29.59,38
0.7,19,29.40428571,21
0.631578947,19.28571429,29.13285714,45
1.043478261,20.71428571,28.71857143,27
0.7,18.28571429,28.41857143,7
1,17.85714286,28.13285714,12
6,21.42857143,27.89,23
0.736842105,23.42857143,27.74714286,35
0.764705882,22,27.69,35
1.321428571,21.57142857,27.69,30
1.7,21.42857143,27.81857143,41
0.736842105,23.57142857,27.83285714,8
0.375,24.14285714,27.83285714,3
5,20,27.79,13
1.333333333,19.85714286,27.86142857,51
0.484848485,20.57142857,27.83285714,50
1.424242424,22.14285714,27.83285714,77
0.806451613,24.14285714,27.84714286,41
0.666666667,22,27.84714286,18
1.888888889,23.42857143,27.83285714,7
1.25,27.42857143,27.63285714,26
0.594594595,31,27.16142857,59
0.586206897,29.85714286,27.16142857,51
1.32,29.57142857,27.19,26
1.137931034,29,27.17571429,9
0.689655172,27.71428571,27.07571429,3
1.620689655,27.71428571,27.30428571,19
0.5,24.14285714,27.77571429,14
0.515151515,25.14285714,27.74714286,20
0.8125,24.71428571,27.71857143,16
0.884615385,26.42857143,27.31857143,9
0.341463415,27.28571429,27.40428571,4
1.333333333,23.42857143,27.40428571,0
-139,23.57142857,27.40428571,25
0.88,23.14285714,27.41857143,11
1.033333333,20.28571429,27.43285714,21
1.583333333,19.28571429,27.44714286,18
0.789473684,15.71428571,27.86142857,18
0.875,15.71428571,27.87571429,12
1.333333333,19.14285714,27.87571429,6
1.384615385,18.57142857,27.89,31
0.666666667,17,27.89,20
1.315789474,19,27.90428571,28
0.730769231,21.42857143,27.43285714,44
1.416666667,23,27.43285714,47
0.407407407,23,27.43285714,25
2.5,20.28571429,27.41857143,4
2,20.42857143,27.41857143,36
1.090909091,18.14285714,27.43285714,10
5,17.85714286,27.40428571,16
7.375,21.14285714,27.87571429,97
0.254237288,21.42857143,27.87571429,41
-4.689655172,21.42857143,27.86142857,9
-113.5,24,27.87571429,0
1.68,24.42857143,27.87571429,9
0.64,28.28571429,27.71857143,23
0.666666667,30.71428571,27.76142857,48
