comp_1_price,comp_2_price,managed_fba_stock_level,weekday,quarter,is_holiday,diff_price_comp_1,ratio_price_comp_1,diff_price_comp_2,ratio_price_comp_2,previous_stock,previous_unitsordered,storage_loss,avg_unitsordered_7days,avg_price_7days,adspend
30.99,41.39,1077,0,4,0,1.2,1.040281974,11.6,1.389392414,1091,6,2.333333333,23.71428571,29.81857143,34
30.99,41.39,1054,1,4,0,1.2,1.040281974,11.6,1.389392414,1077,28,0.821428571,23.14285714,29.81857143,69
30.99,41.39,1034,2,4,0,1.1,1.036801606,11.5,1.384744062,1054,24,0.833333333,23.57142857,29.83285714,48
30.99,41.39,1015,3,4,0,1.4,1.047313282,11.8,1.398783373,1034,41,0.463414634,25,29.83285714,52
30.99,41.39,1001,4,4,0,1.2,1.040281974,11.6,1.389392414,1015,40,0.35,24.85714286,29.83285714,54
30.99,41.39,1847,5,4,0,1,1.033344448,11.4,1.380126709,1001,29,-29.17241379,28,29.83285714,0
30.99,41.39,1800,6,4,0,1,1.033344448,11.4,1.380126709,1847,28,1.678571429,27.71428571,29.83285714,0
30.99,41.39,1779,0,4,0,2,1.068989307,12.4,1.427733701,1800,4,5.25,28.42857143,29.71857143,65
30.99,41.39,1731,1,4,0,1.4,1.047313282,11.8,1.398783373,1779,33,1.454545455,31.85714286,29.69,56
30.99,41.39,1728,2,4,0,1.2,1.040281974,11.6,1.389392414,1731,48,0.0625,32.28571429,29.67571429,72
30.99,41.39,1692,3,4,0,1.3,1.043785786,11.7,1.394072078,1728,44,0.818181818,32.42857143,29.69,51
30.99,41.39,1692,4,4,0,1.1,1.036801606,11.5,1.384744062,1692,41,0,36,29.70428571,27
30.99,41.39,1692,5,4,0,1,1.033344448,11.4,1.380126709,1692,54,0,33.28571429,29.70428571,4
30.99,41.39,1577,6,4,0,1.2,1.040281974,11.6,1.389392414,1692,9,12.77777778,34.28571429,29.67571429,0
30.99,41.39,1544,0,4,0,1.1,1.036801606,11.5,1.384744062,1577,11,3,33.71428571,29.80428571,23
30.99,41.39,1544,1,4,0,1.5,1.0508647,11.9,1.403526619,1544,29,0,37.42857143,29.79,26
30.99,41.39,1509,2,4,0,1.2,1.040281974,11.6,1.389392414,1544,74,0.472972973,35.14285714,29.79,48
30.99,41.39,1480,3,4,0,1.1,1.036801606,11.5,1.384744062,1509,28,1.035714286,33.28571429,29.81857143,57
30.99,41.39,1427,4,4,0,1.1,1.036801606,11.5,1.384744062,1480,28,1.892857143,29.57142857,29.81857143,19
30.99,41.39,1427,5,4,0,1,1.033344448,11.4,1.380126709,1427,28,0,32.57142857,29.81857143,2
30.99,41.39,1356,6,4,0,1,1.033344448,11.4,1.380126709,1427,30,2.366666667,31.57142857,29.84714286,3
30.99,41.39,1348,0,4,0,1.1,1.036801606,11.5,1.384744062,1356,4,2,32.42857143,29.84714286,31
30.99,41.39,1313,1,4,0,1.1,1.036801606,11.5,1.384744062,1348,35,1,26.57142857,29.90428571,47
30.99,41.39,1313,2,4,0,1.1,1.036801606,11.5,1.384744062,1313,33,0,26.57142857,29.91857143,37
30.99,41.39,1313,3,4,0,1.2,1.040281974,11.6,1.389392414,1313,28,0,27,29.90428571,34
30.99,41.39,1404,4,4,0,1.2,1.040281974,11.6,1.389392414,1313,31,-2.935483871,27,29.89,21
